ref,footprint,x_mm,y_mm,rotation,layer
LED227,LED_APA-102-2020-256-8:APA102_5050,-2.0,184.0,0.0,F.Cu
LED228,LED_APA-102-2020-256-8:APA102_5050,2.0,184.0,0.0,F.Cu
LED229,LED_APA-102-2020-256-8:APA102_5050,24.0,180.0,0.0,F.Cu
LED230,LED_APA-102-2020-256-8:APA102_5050,28.0,180.0,0.0,F.Cu
LED231,LED_APA-102-2020-256-8:APA102_5050,24.0,184.0,0.0,F.Cu
LED232,LED_APA-102-2020-256-8:APA102_5050,28.0,184.0,0.0,F.Cu
LED233,LED_APA-102-2020-256-8:APA102_5050,50.0,180.0,0.0,F.Cu
LED234,LED_APA-102-2020-256-8:APA102_5050,54.0,180.0,0.0,F.Cu
LED235,LED_APA-102-2020-256-8:APA102_5050,50.0,184.0,0.0,F.Cu
LED236,LED_APA-102-2020-256-8:APA102_5050,54.0,184.0,0.0,F.Cu
LED237,LED_APA-102-2020-256-8:APA102_5050,76.0,180.0,0.0,F.Cu
LED238,LED_APA-102-2020-256-8:APA102_5050,80.0,180.0,0.0,F.Cu
LED239,LED_APA-102-2020-256-8:APA102_5050,76.0,184.0,0.0,F.Cu
LED240,LED_APA-102-2020-256-8:APA102_5050,80.0,184.0,0.0,F.Cu
LED241,LED_APA-102-2020-256-8:APA102_5050,102.0,180.0,0.0,F.Cu
LED242,LED_APA-102-2020-256-8:APA102_5050,106.0,180.0,0.0,F.Cu
LED243,LED_APA-102-2020-256-8:APA102_5050,102.0,184.0,0.0,F.Cu
LED244,LED_APA-102-2020-256-8:APA102_5050,106.0,184.0,0.0,F.Cu
LED245,LED_APA-102-2020-256-8:APA102_5050,128.0,180.0,0.0,F.Cu
LED246,LED_APA-102-2020-256-8:APA102_5050,132.0,180.0,0.0,F.Cu
LED247,LED_APA-102-2020-256-8:APA102_5050,128.0,184.0,0.0,F.Cu
LED248,LED_APA-102-2020-256-8:APA102_5050,132.0,184.0,0.0,F.Cu
LED249,LED_APA-102-2020-256-8:APA102_5050,154.0,180.0,0.0,F.Cu
LED250,LED_APA-102-2020-256-8:APA102_5050,158.0,180.0,0.0,F.Cu
LED251,LED_APA-102-2020-256-8:APA102_5050,154.0,184.0,0.0,F.Cu
LED252,LED_APA-102-2020-256-8:APA102_5050,158.0,184.0,0.0,F.Cu
LED253,LED_APA-102-2020-256-8:APA102_5050,180.0,180.0,0.0,F.Cu
LED254,LED_APA-102-2020-256-8:APA102_5050,184.0,180.0,0.0,F.Cu
LED255,LED_APA-102-2020-256-8:APA102_5050,180.0,184.0,0.0,F.Cu
LED256,LED_APA-102-2020-256-8:APA102_5050,184.0,184.0,0.0,F.Cu
